"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","719","その他の建設の職業","719-01","潜水作業員","サルベージ作業員、水中調査・測量作業員、潜水士（建設工事）"
"","","","","","","719-02","熱絶縁工","保温・保冷工"
"","","","","","","719-03","測量作業員","測量作業員"
"","","","","","","719-04","住宅水回り設備取付工","給湯機取付工、システムキッチン取付工、洗面器取付工、便器取付工（事務用・事業用ビル）、便器取付工（住宅）、ユニットバス取付工"
"","","","","","","719-05","水道工事検査員","水道検査員、漏水調査員"
"","","","","","","719-99","他に分類されない建設の職業","ALC工、看板取付工、金属製バルコニー取付工、受水槽取付工、プレハブ住宅パネル組立工、窯業サイディング工"
"","","72","電気工事の職業","721","送電線架線・敷設作業員","721-01","送電線架線・敷設作業員","送電線架線作業員、送電線保守作業員、地中送電線敷設作業員"
"","","","","722","配電線架線・敷設作業員","722-01","配電線架線・敷設作業員","地中配電線敷設作業員、配電線架線作業員、配電線保守作業員"
"","","","","723","通信線架線・敷設作業員","723-01","通信線架線・敷設作業員","屋外通信線架線作業員、海底通信ケーブル敷設作業員、地下通信ケーブル敷設作業員、通信線架線作業員、通信線保守作業員"
"","","","","724","電気通信設備作業員","724-01","放送装置据付・保守作業員","CATV工事作業員、テレビアンテナ工事作業員、テレビ中継設備保守作業員、放送装置保守作業員"
"","","","","","","724-02","通信装置据付・保守作業員","携帯電話基地局保守作業員、通信装置据付作業員、無線通信機据付作業員"
"","","","","","","724-03","電話装置据付・保守作業員","交換機据付作業員、電話機据付作業員、ファクシミリ据付作業員"
"","","","","725","電気工事作業員","725-01","電気配線工事作業員","エアコン取付作業員（家庭用）、屋内電気配線工事作業員、航空機配線作業員、照明器取付作業員、船舶配線作業員、鉄道車両配線作業員、電気配線作業員、電工（電気配線工事）"
"","","","","","","725-02","電気工事検査員","電気工事検査員"
"","","","","","","725-03","産業用電気機械・装置据付作業員","産業用電気機械据付作業員、自動制御盤据付作業員、鉄道信号保守作業員、鉄道用電気装置据付保守員"
"","","","","","","725-99","他に分類されない電気工事作業員","オール電化工事作業員、警報器取付作業員、太陽光発電装置据付作業員"
"","","73","土木の職業","731","土木作業員","731-01","建設・土木作業員","建設作業員、護岸工事作業員、コンクリート作業員、造園土木作業員、土管配管作業員、土木作業員、法面保護作業員（コンクリート張り工事）"
"","","","","","","731-02","舗装作業員","アスファルト舗装作業員、コンクリート舗装作業員、道路区画線設置作業員、道路工事作業員、道路付帯設備取付作業員、道路補修作業員、道路舗装作業員"
"","","","","732","鉄道線路工事作業員","732-01","鉄道線路工事作業員","軌条作業員、軌道作業員、軌道舗石作業員、鉄道保線員、保線作業員"
"","","","","733","ダム・トンネル掘削作業員","733-01","ダム・トンネル掘削作業員","ダム掘削作業員、トンネル建設作業員"
"","","74","採掘の職業","741","採鉱員","741-01","採鉱員","採鉱作業員"
"","","","","742","石切出作業員","742-01","石切出作業員","石切出作業者、砕石作業者"
"","","","","743","じゃり・砂・粘土採取作業員","743-01","じゃり・砂・粘土採取作業員","じゃり採取作業者、砂採取作業者、庭石採取作業者、粘土採取作業者"
"","","","","749","その他の採掘の職業","749-01","支柱員","坑内支柱員"
"","","","","","","749-99","他に分類されない採掘の職業","坑内運搬員、選鉱員、発破員"
"K","運搬・清掃・包装等の職業","75","運搬の職業","751","郵便集配員、電報配達員","751-01","郵便集配員、電報配達員","電報配達員、郵便取集員、郵便配達員"
"","","","","752","港湾荷役作業員","752-01","港湾荷役作業員","船内荷役作業員、沿岸荷役作業員"
"","","","","753","陸上荷役・運搬作業員","753-01","運搬作業員","市場内運搬作業員、工場内運搬作業員"
"","","","","","","753-02","積卸作業員","積卸作業員、トラック助手"
"","","","","","","753-03","引越作業員","引越作業員"
"","","","","754","倉庫作業員","754-01","倉庫作業員（冷蔵倉庫を除く）","危険品倉庫作業員、水面倉庫作業員"
"","","","","","","754-02","冷蔵倉庫作業員","冷蔵倉庫作業員"
"","","","","755","配達員","755-01","荷物配達員 ","受託配送員（ルート配送を除く）、商品配達員（ルート配送を除く）、セールスドライバー（ルート配送を除く）、宅配ピザ配達員、宅配便配達員、バイク便配達人、メール便配達員"
"","","","","","","755-02","ルート集配員 ","牛乳配達員、クリーニング集配員、受託配送員（ルート配送）、商品配達員（ルート配送）、セールスドライバー（ルート配送）、乳酸発酵製品配達員、プロパンガス配達員、ルートセールス員（配達を主とするもの）"
"","","","","","","755-03","新聞配達員","新聞配達員"
"","","","","","","755-04","自動販売機商品補充員","清涼飲料ルートセールス員"
"","","","","756","荷造作業員","756-01","荷造作業員","板わくこん包工、機械こん包工、こん包工、出荷作業員（荷造を主とするもの）、荷造機械操作員、荷造検査工、荷造工、箱詰荷造工、袋詰こん包工"
"","","76","清掃の職業","761","ビル・建物清掃員","761-01","ビル・建物清掃員","階段清掃員、ガラス清掃員、ビル清掃員、ポリッシャー（自動床洗浄機）作業員、床磨作業員"
"","","","","762","ハウスクリーニング作業員","762-01","ハウスクリーニング作業員","個人宅清掃員、賃貸住宅清掃員"
"","","","","763","道路・公園清掃員","763-01","道路清掃員","道路清掃員"
"","","","","","","763-02","公園清掃員","ゴルフ場清掃員、植物園清掃員、動物園清掃員、遊園地清掃員"
"","","","","764","ごみ収集・し尿汲取作業員","764-01","ごみ収集作業員","ごみ収集作業員"
"","","","","","","764-02","し尿汲取作業員","し尿汲取作業員"
"","","","","765","産業廃棄物収集作業員","765-01","産業廃棄物収集作業員","がれき収集作業員、工場汚泥回収作業員、工場廃液回収作業員、廃プラスチック回収作業員"
"","","","","769","その他の清掃の職業","769-01","産業洗浄員","機械洗浄員、航空機洗浄員、受水槽洗浄員、上下水道管渠施設洗浄員、洗車作業員、建物外壁高圧洗浄作業員、タンク洗浄員、貯水槽洗浄員、鉄道車両洗浄員、ボイラー洗浄員"
"","","","","","","769-02","消毒・害虫防除作業員","害虫駆除作業員、消毒作業員、白あり駆除作業員、防疫作業員、捕鼠作業員、輸入果物燻蒸員"
"","","","","","","769-03","乗物内清掃員","航空機内清掃員、シートカバー取付人（航空機・列車）、車内清掃員（自動車）、船内清掃員、バス清掃員、列車清掃員"
"","","","","","","769-04","浄化槽清掃員","浄化槽汚泥回収作業員、浄化槽保守点検作業員"
"","","","","","","769-99","他に分類されない清掃の職業","駅構内清掃員、堤防清掃人、墓地掃除人"
"","","77","包装の職業","771","製品包装作業員","771-01","製品包装作業員","贈答品包装作業員、箱詰作業員（包装）、パッケージ機械操作員、フィルム包装作業員、袋詰作業員（包装）、包装機械操作員"
"","","","","779","その他の包装の職業","779-01","ラベル・シール貼付作業員","シール貼付作業員、ステッカー貼付作業員、値札貼付作業員、ラベル貼付作業員"
"","","","","","","779-99","他に分類されない包装の職業","タッグ（下げ札）付作業員、マーク打作業員（製品の箱等に行うもの）"
"","","78","その他の運搬・清掃・包装等の職業","781","選別作業員","781-01","原材料選別作業員 ","古紙精選作業員（紙製造）、選果作業員（缶詰製造）、選鉱作業員（製鉄、製鋼）、選石作業員（石材加工）、野菜選別作業員（漬け物製造）"
"","","","","","","781-02","商品取集め作業員","商品仕分け作業員、ピッキング作業員"
"","","","","","","781-03","青果選別作業員","選果作業員（卸・小売店、出荷組合、農協）"
"","","","","","","781-04","洗たく物荷分け作業員","洗たく物仕分け作業員"
"","","","","","","781-99","他に分類されない選別作業員","いも類選別作業員、ごみ分別作業員（清掃工場）、水産物選別作業員（漁協）、選卵作業員、茶葉選別作業員、廃品選別整理作業員、メール便仕分け作業員"
"","","","","782","軽作業員","782-01","工場労務作業員","工場労務員"
"","","","","","","782-02","建設現場労務作業員","建設現場労務員、建設労務員"
"","","","","","","782-03","小売店作業員","商品品出作業員（小売店）、商品陳列作業員（小売店）、商品補充作業員（小売店）、棚卸作業員（小売店）、店頭商品補充係"
"","","","","","","782-04","病院作業員","病院用務員"
"","","","","","","782-05","旅館作業員","下番（旅館）、内務係（旅館）、中番（旅館）"
"","","","","","","782-06","食堂作業員","食器洗浄係"
"","","","","","","782-07","会場設営作業員","イベント会場設営作業員、コンサート会場設営作業員、展示場設営作業員"
"","","","","","","782-08","用務員","学校用務員、校務員（学校）"
"","","","","789","他に分類されない運搬・清掃・包装等の職業","789-01","公園・ゴルフ場・競技場整備員","グランドキーパー、グランド整備員、公園草取作業員、公園芝刈作業員、ゴルフ場整備員"
"","","","","","","789-99","他に分類されないその他の運搬・清掃・包装等の職業","遺跡発掘作業員、車内広告張り作業員、発送作業員（印刷物）、封入作業員（印刷物）、容器洗浄員"
