"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","","","256-02","コールセンターオペレーター","お客様相談室係（電話によるもの）、通信販売受付事務員（電話によるもの）、テレコミュニケーター、電話調査オペレーター"
"","","","","","","256-03","テレフォンアポインター","電話事務員（勧誘に従事するもの）"
"","","","","","","256-99","他に分類されない電話応接事務員",""
"","","","","257","総合事務員","257-01","総合事務員 ","一般事務員"
"","","","","","","257-97","事務補助員","宛名書人、会社メール係、補助事務員、臨時事務員"
"","","","","258","医療・介護事務員","258-01","医療事務員","医療秘書、健康保険請求事務員、歯科医療請求事務員、調剤薬局事務員、病院受付係、病棟クラーク"
"","","","","","","258-02","介護事務員","介護保険事務員、介護保険請求事務員"
"","","","","259","その他の一般事務の職業","259-01","通信販売受付事務員（電話を除く）","インターネット通販受付事務員"
"","","","","","","259-02","診療情報管理係事務員","診療情報管理士、診療録係員、病歴係"
"","","","","","","259-99","他に分類されない一般事務の職業","船舶パーサー、法務係事務員"
"","","26","会計事務の職業","261","現金出納事務員","261-01","現金出納事務員","ガス料金収納事務員、支払出納事務員、支払窓口事務員、社会保険料徴収係員、出納事務員、水道料金収納事務員、徴税係員、電気料金収納事務員、電話料金収納事務員、放送受信料収納事務員"
"","","","","262","銀行等窓口事務員","262-01","銀行等窓口事務員","銀行窓口係、信用金庫窓口係、テラー、郵便局貯金窓口係、預貯金係員"
"","","","","263","経理事務員","263-01","経理事務員","会計経理事務員、会計事務員、税務会計事務員（公認会計士事務所、税理士事務所）"
"","","","","269","その他の会計事務の職業","269-01","予算係事務員","予算係員、予算事務員"
"","","","","","","269-02","用度係事務員","消耗品出納事務員、物品購入調達事務員、物品購買事務員"
"","","","","","","269-03","原価計算・見積事務員","原価計算事務員、建築積算事務員、設計見積係員、引越見積員"
"","","","","","","269-99","他に分類されない会計事務の職業","財務事務員、投資信託計理事務員"
"","","27","生産関連事務の職業","271","生産現場事務員","271-01","生産・工程管理事務員","工程管理事務員、資材仕入事務員、生産管理事務員、製品原価管理事務員"
"","","","","","","271-02","他に分類されない生産現場事務員","建設工事現場事務員、現場記録事務員、鉱山現場事務員"
"","","","","272","出荷・受荷係事務員 ","272-01","クリーニング等受入係員","クリーニング注文受入事務員、クリーニング取次所従事者、DPEショップ店員、デジタル写真プリント注文受入事務員"
"","","","","","","272-02","検収・検品係員 ","検品検収員、資材検収事務員、倉庫検収係員、納品検査係員"
"","","","","","","272-03","保管・管理係員","在庫管理事務員、資材管理事務員、商品管理係、倉庫管理係"
